Ano;Cod;Área;Grau_academico;Cod_IES;Nome_IES;Sigla_IES;Organização;Cat_adm;Cód_curso;Mod_Ensino;Cód_Municipio;Município;Sigla_UF;Concluintes_inscritos;Concluintes_participantes;Enade_faixa
2021;2501;Art Visuais;Licenciatura;482;Universidade Do Extremo Sul Catarinense;UNESC;Universidade;Privada (S.L);119216;Educação Presencial;4204608;Criciúma;SC;17;14;4
2021;2501;Art Visuais;Licenciatura;496;Universidade De Franca;UNIFRAN;Universidade;Privada (C.L);1323001;Educação a Distância;3516200;Franca;SP;148;94;2
2021;2501;Art Visuais;Licenciatura;547;Universidade Do Estado Do Rio De Janeiro;UERJ;Universidade;Pública (Est);111889;Educação Presencial;3304557;Rio de Janeiro;RJ;76;52;4
2021;2501;Art Visuais;Licenciatura;548;Universidade Federal Do Maranhão;UFMA;Universidade;Pública (Fed);11462;Educação Presencial;2111300;São Luís;MA;49;42;3
2021;2501;Art Visuais;Licenciatura;548;Universidade Federal Do Maranhão;UFMA;Universidade;Pública (Fed);1153642;Educação a Distância;2111300;São Luís;MA;16;15;2
2021;2501;Art Visuais;Licenciatura;570;Universidade Federal Do Rio Grande Do Norte;UFRN;Universidade;Pública (Fed);95667;Educação Presencial;2408102;Natal;RN;46;40;4
2021;2501;Art Visuais;Licenciatura;571;Universidade Federal Do Paraná;UFPR;Universidade;Pública (Fed);116522;Educação Presencial;4106902;Curitiba;PR;15;10;4
2021;2501;Art Visuais;Licenciatura;573;Universidade Federal Do Espírito Santo;UFES;Universidade;Pública (Fed);52472;Educação Presencial;3205309;Vitória;ES;73;48;4
2021;2501;Art Visuais;Licenciatura;573;Universidade Federal Do Espírito Santo;UFES;Universidade;Pública (Fed);1112914;Educação Presencial;3205309;Vitória;ES;33;24;4
2021;2501;Art Visuais;Licenciatura;575;Universidade Federal De Minas Gerais;UFMG;Universidade;Pública (Fed);12943;Educação Presencial;3106200;Belo Horizonte;MG;37;30;5
2021;2501;Art Visuais;Licenciatura;576;Universidade Federal De Juiz De Fora;UFJF;Universidade;Pública (Fed);1153951;Educação Presencial;3136702;Juiz de Fora;MG;30;17;4
2021;2501;Art Visuais;Licenciatura;578;Universidade Federal Da Bahia;UFBA;Universidade;Pública (Fed);13312;Educação Presencial;2927408;Salvador;BA;5;4;4
2021;2501;Art Visuais;Licenciatura;579;Universidade Federal Da Paraíba;UFPB;Universidade;Pública (Fed);107438;Educação Presencial;2507507;João Pessoa;PB;13;10;4
2021;2501;Art Visuais;Licenciatura;580;Universidade Federal De Pernambuco;UFPE;Universidade;Pública (Fed);23910;Educação Presencial;2611606;Recife;PE;40;38;4
2021;2501;Art Visuais;Licenciatura;581;Universidade Federal Do Rio Grande Do Sul;UFRGS;Universidade;Pública (Fed);116768;Educação Presencial;4314902;Porto Alegre;RS;43;35;5
2021;2501;Art Visuais;Licenciatura;582;Universidade Federal De Santa Maria;UFSM;Universidade;Pública (Fed);84840;Educação Presencial;4316907;Santa Maria;RS;16;12;3
2021;2501;Art Visuais;Licenciatura;584;Universidade Federal De Goiás;UFG;Universidade;Pública (Fed);21990;Educação Presencial;5208707;Goiânia;GO;20;17;4
2021;2501;Art Visuais;Licenciatura;584;Universidade Federal De Goiás;UFG;Universidade;Pública (Fed);1147017;Educação a Distância;5208707;Goiânia;GO;31;22;3
2021;2501;Art Visuais;Licenciatura;587;Universidade Federal Rural De Pernambuco;UFRPE;Universidade;Pública (Fed);1151733;Educação a Distância;2611606;Recife;PE;24;21;2
2021;2501;Art Visuais;Licenciatura;600;Instituto Federal De Educação, Ciência E Tecnologia Do Maranhão;IFMA;Instituto Federal de Educação, Ciência e Tecnologia;Pública (Fed);1103310;Educação Presencial;2111300;São Luís;MA;11;10;2
2021;2501;Art Visuais;Licenciatura;610;Centro Universitário Maurício De Nassau Do Rio De Janeiro;UNINASSAU;Centro Universitário;Privada (C.L);14768;Educação Presencial;3304557;Rio de Janeiro;RJ;16;12;4
